시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수,위험도_raw,위험도점수(0~100)
대구방촌초등학교,대구광역시 동구 동촌로42길 35-14 (방촌동),4,5,24,5,8.0,0,35.88065514,128.6630347,38.96,92.5,0,0.34020313064222885,29.701839754665254
화니어린이집,대구광역시 수성구 동대구로7길 14-14 (두산동),2,1,11,4,7.0,0,35.834238,128.622789,33.37,69.30000000000001,12,0.34011354711106007,29.68414590663293
수성영희어린이집,대구광역시 수성구 신천동로86길 25 (수성동4가),2,1,16,4,7.0,0,35.86168383,128.6117861,35.25,1.6,7,0.34009454486905843,29.68039273037538
문화유치원,대구광역시 달서구 월배로83길 120-11 (송현동),3,2,10,4,6.0,0,35.83264361,128.5452448,32.11,69.30000000000001,5,0.3399498327691308,29.651810312701603
청구어린이집,대구광역시 동구 송라로 3-6 (신천동),1,1,10,2,6.0,0,35.86847567,128.618421,34.22,69.30000000000001,19,0.33947903066922297,29.558821113678253
사랑마을어린이집,대구광역시 달서구 진천로10길 12 (진천동),1,1,5,3,8.0,0,35.81303824,128.5253691,30.92,69.30000000000001,10,0.3389074506080383,29.44592702914106
효목어린이집,대구광역시 동구 효목로13길 23 (효목동),3,2,11,3,8.0,0,35.878173,128.641234,34.53,69.30000000000001,12,0.33830206339163726,29.32635561609272
계성어린이집,대구광역시 수성구 범어로 157 (범어동),1,1,17,4,20.0,0,35.863437,128.635247,36.68,62.8,7,0.33829268745987817,29.32450375437726
두류초등학교,대구광역시 서구 달구벌대로357길 22 (내당동),13,5,13,21,8.0,0,35.8616275,128.559932,30.86,477.8,6,0.3382581750863982,29.317687136594706
하늘빛유치원,"대구광역시 수성구 지범로40길 11 (범물동, 서한화성아파트)",1,1,7,4,15.0,0,35.81849094,128.6426091,36.31,36.0,13,0.3381194763399824,29.29029243011979
글나라어린이집,대구광역시 서구 국채보상로46길 31-27 (평리동),6,1,27,9,11.0,0,35.868026,128.557647,35.23,69.30000000000001,0,0.33778664035770084,29.224553234384317
신명유치원,대구광역시 북구 동변로20길 15 (동변동),4,8,18,3,9.0,0,35.9219255,128.6020137,44.37,69.30000000000001,4,0.3376250861912891,29.192644301657694
삼육초등학교,대구광역시 수성구 청수로 22-23 (중동),1,1,13,4,6.5,0,35.83976557,128.610697,33.28,36.6,10,0.33709308712568353,29.087567950040917
명지유치원,대구광역시 달서구 월배로28길 84 (진천동),4,2,10,7,6.0,0,35.81332941,128.5329179,30.92,69.30000000000001,0,0.33708879089868626,29.08671939242535
