시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,읍면동
드림아이유치원,대구광역시 달성군 다사읍 매곡로 92 ,0,0,0,0,,0,35.86816274,128.4557523,다사읍
매곡초등학교,대구광역시 달성군 다사읍 대실역북로3길 6 ,0,0,0,0,,0,35.86224983,128.4681199,다사읍
서동초등학교,대구광역시 달성군 다사읍 서재로7길 55 ,3,2,19,0,,0,35.871804,128.4884318,다사읍
서재성모유치원,대구광역시 달성군 다사읍 서재로20길 28-1 ,0,0,0,0,,0,35.870784,128.4999385,다사읍
세계어린이집,대구광역시 달성군 다사읍 매곡로4길 36 ,0,0,0,0,,0,35.86500199,128.4542579,다사읍
세종유치원,대구광역시 달성군 다사읍 다사로4길 1 ,0,0,0,0,,0,35.86461,128.4603,다사읍
숲속예은유치원,대구광역시 달성군 다사읍 죽곡2길 35 ,0,0,0,0,,0,35.85542956,128.4625278,다사읍
아이엠어린이집,대구광역시 달성군 다사읍 다사로 103-8 ,0,0,0,0,,0,35.86947794,128.4568706,다사읍
어울림유치원,대구광역시 달성군 다사읍 매곡로4길 26-1 ,2,1,4,4,,0,35.86444559,128.4552346,다사읍
왕선초등학교,대구광역시 달성군 다사읍 대실역북로 93 ,10,11,77,15,,0,35.863152,128.465206,다사읍
은초롱어린이집,대구광역시 달성군 다사읍 서재본1길 11 ,0,0,0,0,,0,35.87318281,128.495596,다사읍
죽곡어린이집,대구광역시 달성군 다사읍 달구벌대로174길 17-5 ,0,0,0,0,,0,35.85792905,128.4620448,다사읍
해맑은유치원,대구광역시 달성군 다사읍 왕선로 41 ,0,0,0,0,,0,35.8631537,128.4640509,다사읍
해피아이어린이집,대구광역시 달성군 다사읍 대실역북로 96 ,0,0,0,0,,0,35.86383242,128.4651405,다사읍
 남도초등학교,대구광역시 남구 현충동길 74 (대명동),6,8,85,11,7,3,35.84427387,128.5813642,대명동
 대명초등학교,대구광역시 남구 대명로 100 (대명동),5,9,68,11,8,1,35.83886877,128.5688886,대명동
 성명초등학교,대구광역시 남구 성당로30길 55 (대명동),8,14,43,7,10,1,35.84515216,128.5708254,대명동
가톨릭소화어린이집,대구광역시 남구 현충로39길 74 (대명동),3,3,23,7,7,0,35.85011603,128.5769832,대명동
경북유치원,대구광역시 남구 중앙대로40길 10-1 (대명동),3,3,13,2,7,0,35.84992534,128.5912659,대명동
경상유치원,대구광역시 남구 현충로48길 31-9 (대명동),2,4,33,8,9,0,35.85321709,128.5854639,대명동
계명유치원,대구광역시 남구 명덕로20길 24 (대명동),2,4,18,4,8,0,35.85645873,128.5793986,대명동
남대구초등학교,대구광역시 남구 중앙대로47길 55 (대명동),4,7,47,7,7,0,35.85355805,128.5864853,대명동
남덕초등학교,대구광역시 남구 앞산순환로93길 33 (대명동),12,7,71,14,7,0,35.83304211,128.5739489,대명동
남도어린이집,대구광역시 남구 장전3길 132 (대명동),5,6,41,9,7,1,35.84234083,128.5781777,대명동
남명초등학교,대구광역시 남구 큰골4길 41 (대명동),7,9,68,15,11.5,0,35.8343637,128.5819826,대명동
대덕초등학교,대구광역시 남구 대명서로 28 (대명동),9,16,88,19,11.5,0,35.8304316,128.561677,대명동
동학어린이집,대구광역시 남구 자유5길 16 (대명동),3,4,24,11,7,0,35.83750833,128.5840424,대명동
룸비니유치원,대구광역시 남구 대명남로 140 (대명동),4,3,26,3,13,0,35.83497147,128.5737033,대명동
박애어린이집,대구광역시 남구 대명서2길 45 (대명동),0,0,0,0,8,0,35.83199279,128.5626801,대명동
반야유치원,대구광역시 남구 장전1길 92 (대명동),2,3,21,8,8,0,35.84023286,128.5760702,대명동
보물섬어린이집,대구광역시 남구 대명로49길 9-5 (대명동),2,3,14,4,8,2,35.84228388,128.5824945,대명동
스콜라유치원(구프뢰벨유치원),대구광역시 남구 앞산순환로 467 (대명동),2,3,17,2,,0,35.83248149,128.5760583,대명동
"특수학교(광명,영화,보명,보건,덕희)5개교",대구광역시 남구 성당로50길 33 (대명동),3,5,28,5,7,0,35.85594776,128.575077,대명동
화랑어린이집,대구광역시 남구 두류공원로13길 27-5 (대명동),1,1,5,2,6,0,35.84257212,128.569401,대명동
계성초등학교,대구광역시 중구 달성로 15 (대신동),3,3,39,5,18,0,35.86566471,128.5811278,대신동
 새나래어린이집,"대구광역시 북구 경대로7길 60 (대현동, 성지무궁화아파트)",1,2,7,2,,1,35.88612053,128.6079182,대현동
다인유치원,대구광역시 북구 대현남로 34 (대현동),4,1,50,4,,0,35.88114395,128.607228,대현동
리라어린이집,대구광역시 북구 대현로21길 52 (대현동),1,1,3,2,,1,35.88471833,128.6079209,대현동
신암초등학교,대구광역시 북구 경대로 21 (대현동),5,3,49,1,,0,35.88376396,128.6116222,대현동
혜성어린이집,대구광역시 북구 신천동로148길 55 (대현동),1,2,8,2,,1,35.8841001,128.6050776,대현동
